title,company,location,url,post_date,scraped_at,source,description,industry,skills
"Data Engineer, Analytics",OpenAI,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-engineer-analytics-at-openai-4313819229,2025-10-18,2025-10-21T13:32:46.833942,public_api,,,
Data Engineer Intern,"Qualer, Now a MasterControl Company","Salt Lake City, UT",https://www.linkedin.com/jobs/view/data-engineer-intern-at-qualer-now-a-mastercontrol-company-4315276519,2025-10-16,2025-10-21T13:32:46.833942,public_api,,,
"Software Engineer, Backend",Tinder,"Los Angeles, CA",https://www.linkedin.com/jobs/view/software-engineer-backend-at-tinder-4307089715,2025-10-18,2025-10-21T13:32:46.833942,public_api,,,
"Software Engineer, AI Platform",LinkedIn,"Mountain View, CA",https://www.linkedin.com/jobs/view/software-engineer-ai-platform-at-linkedin-4317358470,,2025-10-21T13:32:46.833942,public_api,,,
Data Engineer I,Les Schwab Tire Centers,"Bend, OR",https://www.linkedin.com/jobs/view/data-engineer-i-at-les-schwab-tire-centers-4316669910,,2025-10-21T13:32:46.833942,public_api,,,
Data Engineer,Hyundai Capital America,"Irvine, CA",https://www.linkedin.com/jobs/view/data-engineer-at-hyundai-capital-america-4316368790,2025-10-17,2025-10-21T13:32:46.833942,public_api,,,
Data Engineer 5 - Product (QOE),Netflix,United States,https://www.linkedin.com/jobs/view/data-engineer-5-product-qoe-at-netflix-4293138779,2025-10-16,2025-10-21T13:32:46.833942,public_api,,,
Data Engineer - Business Strategy Insights Analytics,Spotify,"New York, NY",https://www.linkedin.com/jobs/view/data-engineer-business-strategy-insights-analytics-at-spotify-4306273737,2025-10-17,2025-10-21T13:32:46.833942,public_api,,,
Junior Data Engineer,Lensa,"McLean, VA",https://www.linkedin.com/jobs/view/junior-data-engineer-at-lensa-4316857596,2025-10-19,2025-10-21T13:32:46.833942,public_api,,,
Sr. Data Engineer,Phoenix Suns,"Phoenix, AZ",https://www.linkedin.com/jobs/view/sr-data-engineer-at-phoenix-suns-4317541068,2025-10-20,2025-10-21T13:32:46.833942,public_api,,,
Data Engineer,FLINT,"Roseville, CA",https://www.linkedin.com/jobs/view/data-engineer-at-flint-4314806130,2025-10-14,2025-10-21T13:32:52.782371,public_api,,,
Data Engineer,Temu,United States,https://www.linkedin.com/jobs/view/data-engineer-at-temu-4316691384,,2025-10-21T13:32:52.782371,public_api,,,
Data Engineer,LTIMindtree,"Phoenix, AZ",https://www.linkedin.com/jobs/view/data-engineer-at-ltimindtree-4314204046,2025-10-13,2025-10-21T13:32:52.782371,public_api,,,
"Software Engineer, Database Systems",OpenAI,"San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-database-systems-at-openai-4268364964,2025-10-12,2025-10-21T13:32:52.782371,public_api,,,
Data/Visualization Engineer 4,Nike,"Beaverton, OR",https://www.linkedin.com/jobs/view/data-visualization-engineer-4-at-nike-4316907364,,2025-10-21T13:32:52.782371,public_api,,,
"Data Engineer/Sr Data Engineer, IT Analytics",American Airlines,"Dallas, TX",https://www.linkedin.com/jobs/view/data-engineer-sr-data-engineer-it-analytics-at-american-airlines-4314944973,,2025-10-21T13:32:52.782371,public_api,,,
Data Engineer,Caesars Entertainment,United States,https://www.linkedin.com/jobs/view/data-engineer-at-caesars-entertainment-4313067643,2025-10-16,2025-10-21T13:32:52.782371,public_api,,,
Data Engineer,City of McKinney,"McKinney, TX",https://www.linkedin.com/jobs/view/data-engineer-at-city-of-mckinney-4313300960,2025-10-17,2025-10-21T13:32:52.782371,public_api,,,
Data Engineer Intern (Early Career),S&P Global,"New York, NY",https://www.linkedin.com/jobs/view/data-engineer-intern-early-career-at-s-p-global-4315759480,2025-10-17,2025-10-21T13:32:52.782371,public_api,,,
Junior Data Engineer,Medpace,"Cincinnati, OH",https://www.linkedin.com/jobs/view/junior-data-engineer-at-medpace-4217695016,2025-10-16,2025-10-21T13:32:52.784376,public_api,,,
"Data Engineer(SQl, Python)",Tata Consultancy Services,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/data-engineer-sql-python-at-tata-consultancy-services-4314544915,2025-10-14,2025-10-21T13:32:58.648666,public_api,,,
Data Engineer - Analytics and AI Platforms,Sunlighten,"Leawood, KS",https://www.linkedin.com/jobs/view/data-engineer-analytics-and-ai-platforms-at-sunlighten-4317383998,,2025-10-21T13:32:58.648666,public_api,,,
"Data Engineer II, Ring Data Warehouse",Amazon,"Hawthorne, CA",https://www.linkedin.com/jobs/view/data-engineer-ii-ring-data-warehouse-at-amazon-4316533837,2025-10-18,2025-10-21T13:32:58.648666,public_api,,,
"Data Engineer, Python, AWS, Databricks",JPMorganChase,"Jersey City, NJ",https://www.linkedin.com/jobs/view/data-engineer-python-aws-databricks-at-jpmorganchase-4292998358,2025-10-17,2025-10-21T13:32:58.648666,public_api,,,
Data-Senior Data Engineer–CL,Endava,"Deerfield, IL",https://www.linkedin.com/jobs/view/data-senior-data-engineer%E2%80%93cl-at-endava-4313099166,2025-10-16,2025-10-21T13:32:58.652174,public_api,,,
Data Engineer,Saragossa,"Chicago, IL",https://www.linkedin.com/jobs/view/data-engineer-at-saragossa-4314917161,,2025-10-21T13:32:58.652174,public_api,,,
Data Engineer,Montegallo.,United States,https://www.linkedin.com/jobs/view/data-engineer-at-montegallo-4316381737,2025-10-17,2025-10-21T13:32:58.652174,public_api,,,
Senior Data Engineer,Fanatics,United States,https://www.linkedin.com/jobs/view/senior-data-engineer-at-fanatics-4313313023,2025-10-17,2025-10-21T13:32:58.652174,public_api,,,
"Data Engineer I (AWS, Python/ SQL and Data Bricks)",Travelers,"Hartford, CT",https://www.linkedin.com/jobs/view/data-engineer-i-aws-python-sql-and-data-bricks-at-travelers-4315099027,2025-10-16,2025-10-21T13:32:58.652174,public_api,,,
Data Engineer - IT Sustainability,Costco Wholesale,"Seattle, WA",https://www.linkedin.com/jobs/view/data-engineer-it-sustainability-at-costco-wholesale-4316379563,2025-10-17,2025-10-21T13:32:58.652174,public_api,,,
