title,company,location,url,post_date,scraped_at,source,description,industry,skills
Data Analyst,Tatum by Randstad,"Phoenix, AZ",https://www.linkedin.com/jobs/view/data-analyst-at-tatum-by-randstad-4304051232,,2025-10-21T02:45:52.925300,authenticated,,,
Data Analyst (Remote),Powersoft LLC,"United, PA",https://www.linkedin.com/jobs/view/data-analyst-remote-at-powersoft-llc-4317360281,,2025-10-21T02:45:57.647337,authenticated,,,
Data Associate,Arcana,Greater Coimbatore Area,https://in.linkedin.com/jobs/view/data-associate-at-arcana-4316608755,,2025-10-21T02:45:57.649501,authenticated,,,
Data Analyst,"firstPRO, Inc","Philadelphia, PA",https://www.linkedin.com/jobs/view/data-analyst-at-firstpro-inc-4317332871,,2025-10-21T02:45:57.651511,authenticated,,,
Entry-Level Data Analyst (United States),Synergie Systems Inc.,United States,https://www.linkedin.com/jobs/view/entry-level-data-analyst-united-states-at-synergie-systems-inc-4316462505,,2025-10-21T02:45:57.651511,authenticated,,,
Data Analyst,Soho Square Solutions,"Boston, MA",https://www.linkedin.com/jobs/view/data-analyst-at-soho-square-solutions-4312423250,,2025-10-21T02:45:57.653525,authenticated,,,
Data Analyst (LATAM),Binance,"Dubai, Dubai, United Arab Emirates",https://ae.linkedin.com/jobs/view/data-analyst-latam-at-binance-4316652389,,2025-10-21T02:45:57.655537,authenticated,,,
Data Analyst - Poker,Zynga,"Greater Toronto Area, Canada",https://ca.linkedin.com/jobs/view/data-analyst-poker-at-zynga-4317353344,,2025-10-21T02:45:57.657552,authenticated,,,
Data Analytics Analyst,U.S. Bank,"New York, NY",https://www.linkedin.com/jobs/view/data-analytics-analyst-at-u-s-bank-4316852982,2025-10-19,2025-10-21T02:45:57.657552,authenticated,,,
Data Analyst,Infosys,"Trivandrum, Kerala, India",https://in.linkedin.com/jobs/view/data-analyst-at-infosys-4316633607,,2025-10-21T02:45:57.659564,authenticated,,,
Data Analyst,HealNow,United States,https://www.linkedin.com/jobs/view/data-analyst-at-healnow-4316853014,2025-10-19,2025-10-21T02:46:02.671735,authenticated,,,
Product Data Analyst,StackAdapt,United States,https://www.linkedin.com/jobs/view/product-data-analyst-at-stackadapt-4316649251,,2025-10-21T02:46:02.673746,authenticated,,,
